Name,Population,Demand (education),Demand (household),Demand (peak institution),Demand (commercial),Demand (production),Demand (health),Demand (peak),Demand (lighting),Demand (total),Demand (peak household),Growth (household),Growth (population),Technology (standalone),Technology (standalone cost),Cost (grid extension initial),Cost (grid extension total),Cost (grid extension recurring),Cost (photovoltaic diesel initial),Cost (photovoltaic diesel total),Cost (photovoltaic diesel recurring),Cost (diesel initial),Cost (diesel total),Cost (diesel recurring),Cost (grid internal initial),Cost (grid internal total),Cost (grid internal recurring),Metric
YEUGOUL MBOYO,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
DABAYE NDIAYE,50.0,99.4019474987,609.460423508,0.707853550758,66.7637572182,125.680559137,1705.76158291,0.874829009254,107.088730936,3193.12588378,0.166975458495,6,62,photovoltaic diesel,131969.229869,20.0,26.5542049128,1.06666666667,38222.5,131969.229869,15256.8485714,6867.5,195203.520335,30650.82,11980.0,41409.4533093,4789.508,3410.37424607
MERINA NDIAYE PEULH,22.0,98.8233231362,202.925703606,0.658341887493,66.2259745812,41.7858481822,1698.43368764,0.713937970673,106.79801687,2605.87359295,0.0555960831797,2,27,photovoltaic diesel,66382.7225776,20.0,26.5542049128,1.06666666667,3647.5,66382.7225776,10209.8685714,2667.5,182398.176995,29250.34,6660.0,31022.2008651,3964.836,1331.63549158
GNAYAM,368.0,107.656939309,4958.98221053,1.25370193444,75.0111284376,1041.82099774,1809.78842971,2.6123271976,111.485424813,9534.99427122,1.35862526316,48,461,diesel,329659.625407,20.0,26.5542049128,1.06666666667,1021922.5,1716098.13952,112973.888571,50967.5,329659.625407,45355.86,67840.0,150475.603973,13448.564,6747.85865449
NGUEREUNG OUOLOF,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
NGUEREUNG PEULH I,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
SYERE OUOLOF,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
SAM SAM,91.0,100.299917364,1119.31280297,0.770928407919,67.6096102533,231.331363223,1717.12283626,1.07758944983,107.544738029,3933.20149187,0.306661041909,11,114,photovoltaic diesel,194781.897015,20.0,26.5542049128,1.06666666667,70472.5,194781.897015,20230.7819048,12117.5,211210.19951,32401.42,18630.0,54393.5188646,5820.348,5286.86054097
SAGUE DJIBY YAGUE,198.0,102.841570289,2556.90310324,0.949606376965,70.0748119562,531.621496731,1749.21429317,1.65012777511,108.866146902,6022.96637916,0.700521398148,25,248,diesel,256028.901201,20.0,26.5542049128,1.06666666667,363272.5,680226.44684,51582.7952381,26817.5,256028.901201,37303.1,37250.0,90748.9024192,8706.7,6224.24958023
GABANE PEULH I,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
WEKHE,99.0,100.478028535,1221.49827169,0.783578410867,67.7789819089,252.559588907,1719.37480447,1.1182354716,107.635875144,4081.55947135,0.334657060736,12,124,photovoltaic diesel,207344.430444,20.0,26.5542049128,1.06666666667,76922.5,207344.430444,21225.5685714,13167.5,214411.535345,32751.54,19960.0,56990.3319756,6026.516,5662.15779995
KOGNE KOGNE II,40.0,99.2012760853,507.685554597,0.695174758376,66.5765973272,104.640498439,1703.22085421,0.834266691142,106.987628606,3045.07342267,0.139091932766,5,50,photovoltaic diesel,90360.3330976,20.0,26.5542049128,1.06666666667,14897.5,90360.3330976,12281.2285714,5817.5,192002.1845,30300.7,10650.0,38812.6401983,4583.34,1941.22524356
DIAMAGUEUNE PEULH,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
GALOU DAMEL,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
NDEMBA II,176.0,102.28187769,2247.51651532,0.910991916839,69.5232075181,466.693143002,1742.15534568,1.52674986624,108.571370802,5572.63701178,0.615757949402,22,220,diesel,246424.893696,20.0,26.5542049128,1.06666666667,319622.5,605390.556735,46507.4352381,23667.5,246424.893696,36252.74,33260.0,82958.4630861,8088.196,6155.95274446
NDIAYENE SANTHIE,160.0,101.891620479,2041.58621577,0.885226651357,69.1414660851,423.546772629,1737.23081358,1.44456534061,108.367080693,5272.66349322,0.559338689251,20,200,diesel,240022.222026,20.0,26.5542049128,1.06666666667,290522.5,555499.963331,43123.8619048,21567.5,240022.222026,35552.5,30600.0,77764.836864,7675.86,6110.42152061
SAGUE SAYORO,81.0,100.071023691,1017.09836333,0.758025291616,67.3927186735,210.088956196,1714.22806551,1.03668237746,107.427948669,3783.89067773,0.278657085845,10,101,photovoltaic diesel,182219.363585,20.0,26.5542049128,1.06666666667,64022.5,182219.363585,19235.9952381,11067.5,208008.863675,32051.3,17300.0,51796.7057535,5614.18,4911.56328199
NDIALAKHAR SAMB,127.0,101.115660516,1630.72902337,0.833908761085,68.3895813979,337.6905534,1727.43280214,1.28068383598,107.96398031,4674.49600134,0.446775074897,16,159,diesel,227216.878685,20.0,26.5542049128,1.06666666667,232322.5,455718.776523,36356.7152381,17367.5,227216.878685,34152.02,25280.0,67377.5844198,6851.188,6019.35907291
SYERE PEULH,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
DAO I,79.0,100.036072994,1017.02846867,0.757841314018,67.3596772974,210.056528992,1713.78597847,1.03647925064,107.410148688,3783.14926484,0.278637936623,10,99,photovoltaic diesel,182219.363585,20.0,26.5542049128,1.06666666667,64022.5,182219.363585,19235.9952381,11067.5,208008.863675,32051.3,17300.0,51796.7057535,5614.18,4911.56328199
SOUKOUNDOU,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
SAGNE,174.0,102.242498508,2247.33728845,0.910765578989,69.4845797967,466.613299325,1741.65852794,1.52647442514,108.550709978,5571.63165176,0.61570884615,22,218,diesel,246424.893696,20.0,26.5542049128,1.06666666667,319622.5,605390.556735,46507.4352381,23667.5,246424.893696,36252.74,33260.0,82958.4630861,8088.196,6155.95274446
